source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs
3732696398384550400,8.564326,8.883037,8.058037,0.8249998,NOT_AVAILABLE,0,true,48,44
3636549599797661824,10.458482,11.029313,9.735691,1.293622,NOT_AVAILABLE,0,true,48,46
3725115471868587904,8.15131,8.707341,7.446698,1.260643,NOT_AVAILABLE,0,true,32,28
4421479204133344128,11.948473,12.723178,11.093937,1.629241,NOT_AVAILABLE,0,true,23,23
4421477829743733248,12.17056,12.901563,11.341039,1.560524,NOT_AVAILABLE,0,true,24,24
3654496279558010624,6.092967,6.4131145,5.5894475,0.82366705,NOT_AVAILABLE,0,false,16,16
6307365499463905536,9.156363,9.623489,8.516408,1.1070814,NOT_AVAILABLE,0,true,24,24
3650718804281798912,7.8486147,8.234375,7.291908,0.9424672,NOT_AVAILABLE,0,true,22,21
4347852022889882624,5.5047736,5.5331683,5.4145427,0.11862564,NOT_AVAILABLE,0,false,29,23
4551981991583160704,9.723409,9.956059,9.320458,0.63560104,NOT_AVAILABLE,0,true,60,59
1745936164681118592,13.758133,14.338918,13.024912,1.3140059,NOT_AVAILABLE,0,true,52,51
1821609021711481728,14.153595,14.732187,13.418853,1.3133345,NOT_AVAILABLE,0,true,41,42
1235563517265388928,9.600647,10.009703,9.009769,0.99993324,NOT_AVAILABLE,2,true,29,27
1275876252107941888,8.727519,9.395418,7.9365087,1.4589095,NOT_AVAILABLE,0,true,111,111
1275876252107941888,8.727519,9.395418,7.9365087,1.4589095,NOT_AVAILABLE,0,true,111,111
1262035427936249728,7.542939,8.023796,6.8887696,1.1350265,NOT_AVAILABLE,0,true,34,32
4050199996022387072,14.696297,15.4872465,13.761259,1.7259874,NOT_AVAILABLE,0,true,28,29
4050199996022387072,14.696297,15.4872465,13.761259,1.7259874,NOT_AVAILABLE,0,true,28,29
4050198351112514560,14.483052,15.397486,13.496718,1.9007673,NOT_AVAILABLE,0,true,25,28
