CALSPEC_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or,radr3,decdr3,namefits,bestfitFLAG,COMMENT,Sp_simbad,Sp_calspec,Teff,logg,zeta,var,E_BV,RV
KF06T2,1633376204407124352, 13.6196899, 14.2293158, 12.8753948,  1.3539209,NOT_AVAILABLE,      0,1.0,251,244,     269.6583082999999874,      66.7811422000000050,     269.6583177662346884,      66.7811227079220657,kf06t2_stiswfcnic_006.fits,  1,OK,K1.5III,K1.5III,   4550.0,   2.10,  -0.11,,   0.07,   3.10
KF08T3,1633294634388508416, 13.0450420, 13.5367765, 12.3948870,  1.1418896,NOT_AVAILABLE,      0,1.0,111,110,     268.8175666999999862,      66.1698916999999938,     268.8175893475595331,      66.1698623451300421,kf08t3_stisnic_005.fits,  1,OK,K0.5III,K0.5III,   4910.0,   1.90,  -0.21,,   0.03,   3.10
KSI2_CETI,22745910577134848,  4.2553577,  4.2396884,  4.2805800, -0.0408916,NOT_AVAILABLE,      0,1.0, 12, 12,      37.0398208000000011,       8.4600603000000003,      37.0399300386071033,       8.4600400598305399,ksi2ceti_stis_008.fits,  0,OK,B9III,B9III,  10380.0,   4.00,  -0.47,,   0.00,   3.10
LAMBDA_LEP,2988329637719192960,  4.2184691,  4.1034460,  4.4746261, -0.3711801,NOT_AVAILABLE,      0,1.0, 50, 46,      79.8938500000000005,     -13.1767892000000000,      79.8938568265041766,     -13.1767907399292898,lamlep_stis_008.fits,  0,OK,B0.5V,B0.5V,  28970.0,   4.20,   0.16,0.35,   0.02,   3.10
LDS749B,2687733913283870336, 14.6432457, 14.6013374, 14.6941328, -0.0927954,NOT_AVAILABLE,      0,1.0, 42, 40,     323.0676374999999894,       0.2539997000000000,     323.0694730804228811,       0.2541207161133505,lds749b_stisnic_008.fits,  1,OK,DB4,DBQ4,  13906.0,   8.00,  99.99,,  99.99, 100.00
MU_COL,2901155648586891648,  5.1061826,  4.9635134,  5.3815207, -0.4180074,NOT_AVAILABLE,      0,1.0, 38, 34,      86.4995624999999961,     -32.3064333000000019,      86.4995797980886039,     -32.3065325226425628,mucol_stis_008.fits,  0,VAR,O9.5V,O9.5V,  31790.0,   3.60,  -0.23,0.12,   0.00,   3.10
NGC2506-G31,3038045185547143936, 17.7694988, 18.1717758, 17.2477798,  0.9239960,NOT_AVAILABLE,      0,0.0, 37, 37,     120.0592166999999932,     -10.7915194000000003,     120.0592186157309129,     -10.7915182340946121,ngc2506g31_stis_005.fits,  0,OK,G1V,G1V,   5920.0,   5.00,   0.12,,   0.08,   3.10
NGC6681-1,6736897344744429696, 15.8078938,  0.0000000,  0.0000000,  0.0000000,NOT_AVAILABLE,      0,0.0,  0,  0,     280.8054958000000170,     -32.2903778000000017,     280.8054962037845144,     -32.2903798191494573,NGC6681_1_stis_002.fits,  0,OK,,...,     99.0,  99.99,  99.99,,  99.99, 100.00
NGC6681-2,6736897344730729344, 16.2230320,  0.0000000,  0.0000000,  0.0000000,NOT_AVAILABLE,      0,0.0,  0,  0,     280.8048542000000225,     -32.2905056000000030,     280.8048558891820221,     -32.2905075214797250,NGC6681_2_stis_002.fits,  0,OK,,...,     99.0,  99.99,  99.99,,  99.99, 100.00
NGC6681-3,6736897344744400768, 16.8222752,  0.0000000,  0.0000000,  0.0000000,NOT_AVAILABLE,      0,0.0,  0,  0,     280.8043374999999742,     -32.2903917000000007,     280.8043256269486960,     -32.2903873677440032,NGC6681_3_stis_002.fits,  0,OK,,...,     99.0,  99.99,  99.99,,  99.99, 100.00
