NGSL_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or, radr3, decdr3,namecsv,bestfitFLAG,COMMENT,Sp,Teff,logg,FeH,EBV
HD201091,1872046609345556480,  4.7667131,  5.4397926,  3.9772029,  1.4625897,NOT_AVAILABLE,      0,true, 42, 39,     316.7247479999999769,      38.7494159999999965,     316.7484792999999854,      38.7638624000000007,HD201091.fits.csv,  0,VAR,K5V,   4167.0,   4.54,  -0.35,   0.00
HD201377,2689931630869716096,  6.6341252,  6.7024021,  6.4846678,  0.2177343,NOT_AVAILABLE,      0,true, 26, 24,     317.3166979999999739,      -0.2349260000000000,     317.3169887999999901,      -0.2349405000000000,HD201377.fits.csv,  0,OK,A3III/IV,   8415.0,   4.32,  -0.23,   0.04
HD201601,1744662586614707072,  4.6535826,  4.7792139,  4.4261203,  0.3530936,VARIABLE,      0,true, 45, 39,     317.5854170000000067,      10.1315779999999993,     317.5856221999999889,      10.1309050000000003,HD201601.fits.csv,  0,VAR,A9VpSrCrEu,   8574.0,   4.47,   0.68,   0.08
HD203638,6829361221730142848,  5.0564704,  5.6259341,  4.3499827,  1.2759514,NOT_AVAILABLE,      0,true, 44, 40,     321.0399719999999775,     -20.8518709999999992,     321.0399348999999916,     -20.8524379999999994,HD203638.fits.csv,  1,OK,K0III,   4647.0,   2.81,   0.27,   0.08
HD204041,2688034762857131136,  6.4260726,  6.4951463,  6.2685266,  0.2266197,NOT_AVAILABLE,      0,true, 41, 35,     321.4649360000000229,       0.5343390000000000,     321.4651567000000227,       0.5344068000000000,HD204041.fits.csv,  0,OK,A1Vb,   8617.0,   4.49,  -0.61,   0.01
HD204155,2699301565882761344,  8.3453941,  8.6410294,  7.8720226,  0.7690067,NOT_AVAILABLE,      0,true, 43, 38,     321.6787709999999834,       5.4416390000000003,     321.6795121000000108,       5.4405441000000003,HD204155.fits.csv,  0,OK,F7V,   5704.0,   3.89,  -0.70,   0.01
HD204543,2672702897842335872,  7.9937515,  8.5112705,  7.3031716,  1.2080989,NOT_AVAILABLE,      0,true, 41, 40,     322.3675529999999867,      -3.5153770000000000,     322.3675458999999819,      -3.5155845000000001,HD204543.fits.csv,  0,OK,F6/8(V),   4874.0,   1.99,  -1.78,   0.11
HD204724,1797346167298274304,  3.7691293,  4.7788167,  2.8327460,  1.9460707,NOT_AVAILABLE,      0,true, 49, 50,     322.4870639999999753,      23.6388379999999998,     322.4871785000000273,      23.6388564000000017,HD204724.fits.csv,  0,SAT,M1+III,   3773.0,   1.00,   0.00,   0.03
HD204867,2671038928727970944,  2.7120852,  3.4768906,  2.3839340,  1.0929565,NOT_AVAILABLE,      0,true, 31, 31,     322.8897150000000238,      -5.5711760000000004,     322.8898027999999840,      -5.5712111000000002,HD204867.fits.csv,  0,SAT,G0Ib,   5715.0,   1.22,   0.10,   0.12
HD205202,1850440690450639232,  7.9978223,  8.2114859,  7.6224837,  0.5890021,NOT_AVAILABLE,      0,true, 55, 56,     323.2618229999999926,      30.3597430000000017,     323.2626207999999792,      30.3597758000000013,HD205202.fits.csv,  0,OK,F5,   6496.0,   4.07,  -0.51,   0.02
HD205811,2701125861831057792,  6.1879582,  6.1870589,  6.1611366,  0.0259223,NOT_AVAILABLE,      0,true, 42, 38,     324.4318569999999795,       6.6183899999999998,     324.4321221000000151,       6.6183820999999998,HD205811.fits.csv,  0,OK,A2V,   9069.0,   4.42,  -1.30,   0.00
HD206778,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,none,      0,none,  0,  0,     326.0464840000000208,       9.8750090000000004,       0.0000000000000000,       0.0000000000000000,none.csv,  0,SAT,K2Ib-II,   4240.0,   0.93,   0.08,   0.22
HD206860,1772187382746856320,  5.8195920,  6.1151419,  5.3542347,  0.7609072,NOT_AVAILABLE,      0,true, 30, 29,     326.1305409999999938,      14.7719400000000007,     326.1316037000000279,      14.7714367000000006,HD206860.fits.csv,  0,VAR,G0V+,   5972.0,   4.44,   0.00,   0.01
HD207222,1792900051510535296,  8.5981998,  8.6266222,  8.5165749,  0.1100473,NOT_AVAILABLE,      0,true, 25, 26,     326.7344059999999786,      21.2974320000000006,     326.7344671000000176,      21.2974004999999984,HD207222.fits.csv,  0,OK,A0,   9489.0,   4.57,  -0.36,   0.07
HD207991,1979339496603106432,  6.2368250,  7.1271915,  5.3090434,  1.8181481,NOT_AVAILABLE,      0,true, 44, 42,     327.9807620000000270,      48.4371080000000021,     327.9806737000000112,      48.4371459999999985,HD207991.fits.csv,  0,OK,K4-III,   3777.0,   2.00,   0.00,   0.07
HD209290,2683023811628007296,  8.4033594,  9.3872089,  7.4200149,  1.9671941,NOT_AVAILABLE,      0,false, 19, 20,     330.5428130000000237,       1.4002310000000000,     330.5408017999999970,       1.3989924000000000,HD209290.fits.csv,  0,OK,M0.5V,   3915.0,   4.69,   0.03,   0.00
HD209458,1779546757669063552,  7.5212455,  7.7932835,  7.0802879,  0.7129955,VARIABLE,      0,true, 21, 19,     330.7948870000000170,      18.8843190000000014,     330.7950263000000177,      18.8842393999999985,HD209458.fits.csv,  0,VAR/planet,F9V,   6118.0,   4.37,   0.03,   0.01
HD210111,6611824083124944384,  6.3262048,  6.4299159,  6.1063890,  0.3235269,NOT_AVAILABLE,      0,true, 43, 39,     332.1776830000000018,     -33.1256940000000029,     332.1777533000000062,     -33.1255853999999985,HD210111.fits.csv,  0,VAR,A9VkA2mA2_lB,   7450.0,   3.75,  -1.05,   0.01
