SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,bestfitFLAG,COMMENT,ra_or,dec_or, radr3, decdr3
       155,      4994877094997259264, 12.8951883, 13.0022974, 12.6928167,  0.3094807,NOT_AVAILABLE,      0,true, 38, 37,  0,OK,       0.5446841568747000,     -43.1653862718505010,       0.5484242194982256,     -43.1684396182697085
       175,      5612710511362093184, 14.5165539, 14.3637590, 14.8277121, -0.4639530,NOT_AVAILABLE,      0,true, 55, 54,  0,OK,     110.8339062124850045,     -27.7894154756966678,     110.8339062124852603,     -27.7894154756967140
       181,      5242316444456199808, 13.5378408, 13.5078869, 13.6380301, -0.1301432,NOT_AVAILABLE,      0,true, 36, 33,  0,OK,     148.8453586756197922,     -71.3023245403223029,     148.8435514201755154,     -71.3027901729597176
       186,      5860131207828395648, 13.9216003, 14.0699167, 13.6495829,  0.4203339,NOT_AVAILABLE,      0,true, 45, 44,  0,OK,     186.6747223049800084,     -66.2059426146900023,     186.6747223049837316,     -66.2059426146946066
       196,      5923906524348891904, 13.5259371, 13.4845142, 13.6336927, -0.1491785,NOT_AVAILABLE,      0,true, 49, 45,  0,OK,     255.7347402308689084,     -53.2434905877526035,     255.7347230090335586,     -53.2441439998323389
       199,      2045444369069839744, 13.5816231, 13.4904957, 13.7835646, -0.2930689,VARIABLE,      0,true, 45, 46,  0,OK,     294.6175083188397252,      32.8888024192224009,     294.6171585042471861,      32.8882141721627832
       202,      6468623688724871808, 13.7391176, 13.6104612, 14.0015507, -0.3910894,VARIABLE,      0,true, 46, 45,  0,OK,     304.7278669079253177,     -57.3591005169412966,     304.7285032002685057,     -57.3591860668429518
       214,      1923682286712356992, 13.8881636, 13.8354263, 14.0212326, -0.1858063,NOT_AVAILABLE,      0,true, 84, 82,  0,OK,     352.9001436534958316,      41.0247524339024991,     352.9001436534956042,      41.0247524339026484
       218,      4922382445088509312, 14.2317352, 14.1542988, 14.3975439, -0.2432451,NOT_AVAILABLE,      0,true, 58, 57,  1,OK,      12.5162097268683343,     -52.1375068408947229,      12.5162097268682935,     -52.1375068408947584
       219,      5014009353235167744, 14.6963234, 14.5599337, 14.9750214, -0.4150877,NOT_AVAILABLE,      0,true, 63, 59,  0,OK,      17.0865387027177000,     -35.5782493406160967,      17.0863279873987643,     -35.5784807275053439
       223,       519815360648870144, 14.4105253, 14.2718992, 14.7027197, -0.4308205,NOT_AVAILABLE,      0,true, 53, 50,  0,OK,      27.7928361701722011,      67.6586810073203964,      27.7944788930818234,      67.6586803881211694
       237,      5353122722363361920, 14.1501942, 14.1194029, 14.2358685, -0.1164656,NOT_AVAILABLE,      0,true, 45, 46,  0,OK,     163.8063992089959129,     -55.3180997930670983,     163.8036880777044075,     -55.3169882797010786
       242,      1572889389701360384, 14.0762386, 13.9014063, 14.4146414, -0.5132351,NOT_AVAILABLE,      0,true, 58, 56,  1,OK,     183.3526604196059964,      53.0658976190886023,     183.3527161349219909,      53.0657262410808599
       247,      6070021243006871040, 14.4163437, 14.3405533, 14.5889101, -0.2483568,NOT_AVAILABLE,      0,true, 41, 41,  1,OK,     201.5398791233857878,     -51.6932610653300983,     201.5361962939627460,     -51.6933898267725667
       252,      1371872413302877568, 14.8054638, 14.7064571, 15.0021505, -0.2956934,NOT_AVAILABLE,      0,true, 54, 52,  1,OK,     238.7582978033931909,      35.2246237929330022,     238.7584203730664569,      35.2244517891275422
       254,      1326398777041821568, 14.6169033, 14.6732006, 14.5263186,  0.1468821,NOT_AVAILABLE,      0,true, 50, 51,  0,OK,     249.8659230764959887,      33.4228447904296999,     249.8658126663325447,      33.4207710617379519
       264,      6448025712768292992, 15.2260437, 15.0657921, 15.5447702, -0.4789782,NOT_AVAILABLE,      0,true, 50, 47,  1,OK,     301.0760673214713279,     -56.0466485644601988,     301.0766787888214822,     -56.0468162939748353
       270,      6462911897617050240, 14.2734442, 14.3406506, 14.1538229,  0.1868277,VARIABLE,      0,true, 41, 40,  0,OK,     319.9022189949560016,     -55.8373515042139985,     319.9056307295825263,     -55.8381994662525543
       281,      1921351390779081600, 14.8525381, 14.9594269, 14.6474209,  0.3120060,NOT_AVAILABLE,      0,true, 62, 60,  0,OK,     358.7357176492970439,      40.4558492358027806,     358.7357176492971575,      40.4558492358028232
       301,      2262849634963004416, 13.2455912, 13.2314234, 13.2542086, -0.0227852,VARIABLE,      0,true, 34, 34,  0,OK,     285.0427221831085944,      70.6642824260527931,     285.0438740245103872,      70.6665275390698753
       310,      2257815757199848960, 10.6247854, 10.9145279, 10.1787767,  0.7357512,VARIABLE,      0,true,262,263,  0,OK,     270.0089217106938122,      66.7652763721765012,     270.0088764190433608,      66.7653895109484949
       321,      2644497680105681920, 14.9751530, 15.0912161, 14.7660131,  0.3252029,NOT_AVAILABLE,      0,false, 27, 26,  0,OK,     352.6037112032445862,      -0.1597524192985000,     352.6037329737210371,      -0.1598219244157091
