UVES_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or, radr3, decdr3,namefits,bestfitFLAG,COMMENT,Sptype,Teff,logg,Fe_H,E(B-V)
HD148898,6052319827355147264,  4.4256105,  4.4734449,  4.2946076,  0.1788373,NOT_AVAILABLE,      0,true, 41, 40,     248.0341659000000050,     -21.4663922000000014,     248.0342599999999891,     -21.4662259999999989,HD148898.fits,  0,SAT,ApSrEuCr,   8197.4,   3.73,   0.19,   0.06
HD148937,5941151986262863104,  6.6086712,  6.7874904,  6.2478814,  0.5396090,NOT_AVAILABLE,      0,true, 52, 47,     248.4682788000000073,     -48.1112433999999993,     248.4682799999999929,     -48.1112589999999969,HD148937.fits,  0,BIN,O6f?p,      NaN,    NaN,    NaN,    NaN
HD149438,6044420729667868928,  2.8028276,  2.9870636,  3.0010197, -0.0139561,NOT_AVAILABLE,      0,false,  9,  9,     248.9706368999999881,     -28.2160170999999984,     248.9705899999999872,     -28.2161180000000016,HD149438.fits,  0,SAT,B0.2V,  31659.5,   4.13,  -0.01,   0.06
HD149447,6020624858523492352,  3.4913599,  4.4539113,  2.6087427,  1.8451686,NOT_AVAILABLE,      0,false, 19, 19,     249.0936330000000112,     -35.2553278999999975,     249.0937099999999873,     -35.2552840000000032,HD149447.fits,  0,SAT,K5III,   3909.5,   0.77,  -0.27,   0.15
HD149661,4358031335898505472,  5.5535517,  5.9706206,  4.9560113,  1.0146093,NOT_AVAILABLE,      0,true, 59, 54,     249.0893737000000101,      -2.3245870000000002,     249.0913999999999930,      -2.3259612999999999,HD149661.fits,  0,BIN,K1V,   5537.2,   4.97,  -0.03,   0.09
HD151932,5968019618048049664,  6.2997370,  6.4975901,  5.8955894,  0.6020007,VARIABLE,      0,true, 40, 39,     253.0801988000000051,     -41.8545195000000021,     253.0801899999999875,     -41.8545299999999969,HD151932.fits,  0,WR,WN7h,      NaN,    NaN,    NaN,    NaN
HD152003,5966519162610481664,  6.8486099,  7.0504432,  6.4608459,  0.5895972,VARIABLE,      0,true, 43, 40,     253.1973935000000040,     -41.7858307999999994,     253.1973900000000128,     -41.7858400000000003,HD152003.fits,  0,BS,O9.7IabNwk,  33542.2,   2.96,   0.48,   0.35
HD152235,5966501501704611840,  6.1130810,  6.4169879,  5.6039543,  0.8130336,VARIABLE,      0,true, 37, 36,     253.4952202000000057,     -41.9943272000000007,     253.4952199999999891,     -41.9943379999999991,HD152235.fits,  0,BS,B0.5Ia,  23890.9,   2.71,   0.06,   0.36
HD152270,5966509541883497984,  6.5590334,  6.6705632,  6.3039474,  0.3666158,NOT_AVAILABLE,      0,true, 37, 33,     253.5820797000000084,     -41.8198699000000005,     253.5820799999999906,     -41.8198799999999977,HD152270.fits,  0,WR,WC7+O5-8,      NaN,    NaN,    NaN,    NaN
HD152311,4127420626087054976,  5.6906576,  6.0379553,  5.1752367,  0.8627186,NOT_AVAILABLE,      0,true, 38, 33,     253.3550530999999921,     -20.4158006000000007,     253.3549299999999960,     -20.4157380000000011,HD152311.fits,  0,BIN,G2IV-V,   5776.0,   4.20,  -0.15,   0.14
HD152429,6034500386022688896,  7.0914221,  7.3530340,  6.6659007,  0.6871333,NOT_AVAILABLE,      0,true, 48, 44,     253.5860720000000015,     -25.8293807000000015,     253.5857200000000091,     -25.8295519999999996,HD152429.fits,  0,OK,G0IV,   6026.6,   3.38,  -0.10,   0.01
HD152786,5917537534527580160,  2.5107856,  3.7142208,  2.1016068,  1.6126139,NOT_AVAILABLE,      0,true, 30, 30,     254.6550507000000039,     -55.9901444999999995,     254.6549100000000010,     -55.9902990000000003,HD152786.fits,  0,SAT,K3III,   3961.1,  -0.02,  -1.04,   0.09
HD154365,4111834567779557376,  7.0693331,  7.5759540,  6.4083877,  1.1675663,VARIABLE,      0,true, 50, 50,     256.5229082999999832,     -26.5805638000000002,     256.5229100000000244,     -26.5805650000000000,HD154365.fits,  0,VAR,G0II,   5809.9,   1.45,  -0.04,   0.26
HD154811,5950908193476521856,  6.7860942,  6.9986105,  6.3893871,  0.6092234,VARIABLE,      0,true, 49, 47,     257.4711940000000254,     -47.0314406000000034,     257.4711899999999787,     -47.0314600000000027,HD154811.fits,  0,OK,OC9.7Ib,  26345.5,   1.96,   0.49,   0.35
HD154873,5950941488064653056,  6.8552413,  6.9843388,  6.5781589,  0.4061799,NOT_AVAILABLE,      0,true, 52, 48,     257.5868328999999903,     -46.7384107000000029,     257.5868500000000267,     -46.7384249999999994,HD154873.fits,  0,DMS,B1Ib,  28630.2,   3.54,   0.05,   0.37
HD155416,5973552497981951360,  6.4402857,  6.6676769,  6.0103979,  0.6572790,NOT_AVAILABLE,      0,true, 57, 53,     258.2892681000000152,     -37.9523768999999973,     258.2892600000000130,     -37.9523900000000012,HD155416.fits,  0,OK,B8Iab/b,  13419.1,   1.93,   0.11,   0.26
HD155806,5979008205986483712,  5.6680999,  5.6342106,  5.6738133, -0.0396028,VARIABLE,      0,true, 37, 34,     258.8301994000000263,     -33.5484165000000019,     258.8302100000000223,     -33.5484319999999983,HD155806.fits,  0,Be,O7.5V((f))z(e),      NaN,    NaN,    NaN,    NaN
HD156026,4109034455276324608,  5.8898630,  6.5309701,  5.1161342,  1.4148359,NOT_AVAILABLE,      0,true, 36, 30,     259.0556766999999923,     -26.5461489999999998,     259.0532900000000041,     -26.5511459999999992,HD156026.fits,  0,BIN,K5V,   4765.0,   4.96,  -0.20,   0.25
HD156098,5979460655025099776,  5.4043751,  5.6603212,  4.9942789,  0.6660423,NOT_AVAILABLE,      0,true, 22, 21,     259.2651910999999814,     -32.6628390999999993,     259.2646700000000237,     -32.6630839999999978,HD156098.fits,  0,OK,F6V,   6264.1,   3.34,  -0.09,   0.07
HD156274,5951165616611763456,  5.3014293,  5.7087970,  4.7346768,  0.9741201,NOT_AVAILABLE,      0,true, 23, 21,     259.7659897999999998,     -46.6362334000000018,     259.7726499999999987,     -46.6357580000000027,HD156274.fits,  0,OK,G9V,   5334.1,   4.53,  -0.42,   0.06
HD156385,5952743072247166464,  6.7683187,  6.8429828,  6.5876312,  0.2553515,NOT_AVAILABLE,      0,true, 31, 29,     259.8745885000000158,     -45.6399650999999977,     259.8745900000000120,     -45.6399809999999988,HD156385.fits,  0,WR,WC7,      NaN,    NaN,    NaN,    NaN
HD156575,5952663872981837440,  7.2748494,  7.3746691,  7.0382347,  0.3364344,NOT_AVAILABLE,      0,true, 35, 33,     260.1567454999999995,     -46.0462340999999995,     260.1567600000000198,     -46.0462500000000006,HD156575.fits,  0,OK,B1Ib/II,  23196.9,   2.88,   0.02,   0.38
HD157038,5972810563833563648,  6.0311713,  6.4989691,  5.3604546,  1.1385145,VARIABLE,      0,true, 23, 23,     260.6634083000000146,     -37.8046389000000005,     260.6634099999999989,     -37.8046409999999966,HD157038.fits,  0,BS,B3Iap,  16769.2,   1.93,   0.48,   0.32
HD159532,none, 99.9899979, 99.9899979, 99.9899979, 99.9899979,none,      0,none,  0,  0,     264.3297076999999717,     -42.9978279999999984,       0.0000000000000000,       0.0000000000000000,HD159532.fits,  0,OK,F1III,   6242.7,   2.34,  -0.44,   0.00
HD160529,4053887521876855808,  5.9595490,  6.7675562,  5.1084104,  1.6591458,VARIABLE,      0,true, 23, 41,     265.4959425000000124,     -33.5038067999999996,     265.4959400000000187,     -33.5038109999999989,HD160529.fits,  0,BS,B8-A9Ia+,   9296.8,   1.29,   0.11,   0.23
HD160691,5945941905576552064,  4.9427519,  5.2933221,  4.4427133,  0.8506088,NOT_AVAILABLE,      0,true, 30, 28,     266.0362630999999851,     -51.8340531999999996,     266.0361500000000206,     -51.8349019999999996,HD160691.fits,  0,Planet,G3IV-V,   5705.3,   4.10,   0.03,   0.04
HD162144,4041462250189194752,  7.5950632,  7.5909905,  7.5642891,  0.0267015,NOT_AVAILABLE,      0,true, 38, 32,     267.7588546000000065,     -35.0705470999999989,     267.7588700000000017,     -35.0705710000000010,HD162144.fits,  0,CRO,A0III/IV,   9084.8,   3.65,  -0.42,   0.00
HD162187,4041579137662906752,  9.4904423,  9.5909290,  9.2917128,  0.2992163,NOT_AVAILABLE,      0,true, 32, 30,     267.8088586999999734,     -34.5927661999999998,     267.8088700000000131,     -34.5927900000000008,HD162187.fits,  0,CRO,A8/F0(V),   8979.6,   4.18,   0.33,   0.08
HD162305,4041561171865960448,  7.8004031,  7.7872305,  7.7834706,  0.0037599,NOT_AVAILABLE,      0,true, 29, 29,     267.9703344999999786,     -34.7824476999999987,     267.9703499999999963,     -34.7824719999999985,HD162305.fits,  0,CRO,B8/9III/IV,  10835.7,   4.11,   0.59,   0.07
HD162306,4040709497081178496,  8.8676977,  8.8535862,  8.8420410,  0.0115452,VARIABLE,      0,true, 39, 39,     267.9800832999999898,     -35.0826666999999972,     267.9801100000000247,     -35.0827010000000001,HD162306.fits,  0,DMS,B8IV,  11921.0,   3.58,   0.55,   0.15
HD162374,4040810720855068288,  5.8600879,  5.7941790,  5.9374914, -0.1433125,NOT_AVAILABLE,      0,true, 34, 28,     268.0569221000000084,     -34.7991969999999995,     268.0569399999999973,     -34.7992229999999978,HD162374.fits,  0,BSS,B5IVp,  16314.0,   3.81,  -0.22,   0.07
HD162391,4041599414270468480,  5.5286350,  6.0895171,  4.8124785,  1.2770386,NOT_AVAILABLE,      0,true, 25, 25,     268.0823389999999904,     -34.4168418000000003,     268.0823599999999942,     -34.4168659999999988,HD162391.fits,  0,BIN,G8/K0III,   5059.7,   1.85,  -0.17,   0.19
HD162393,4040804085044179968,  8.0569029,  8.0685616,  7.9977913,  0.0707703,NOT_AVAILABLE,      0,true, 38, 37,     268.0834199000000240,     -34.9744309000000015,     268.0834399999999960,     -34.9744529999999969,HD162393.fits,  0,CRO,A0V,   9954.5,   4.05,  -0.55,   0.06
HD162514,4041570174122317440,  8.8167229,  8.9329243,  8.5874977,  0.3454266,NOT_AVAILABLE,      0,true, 37, 36,     268.2269229999999993,     -34.5913747000000029,     268.2269400000000132,     -34.5914009999999976,HD162514.fits,  0,CRO,A7/8V,   5489.1,   4.05,  -0.45,   0.00
HD162515,4040792716343899520,  6.5342617,  6.5317287,  6.4958177,  0.0359111,NOT_AVAILABLE,      0,true, 33, 26,     268.2323787999999922,     -35.0188923999999986,     268.2323900000000094,     -35.0189179999999993,HD162515.fits,  0,BIN,B9III,      NaN,    NaN,    NaN,    NaN
